meaning,name
"- noun
+ mụn
",zit
"- noun
+ men rượu
",zymase
"- adjective
+ gù lưng; có bướu ở lưng
",humpbacked
"- phrasal verb
+ tìm kiếm
",hunt for
"- noun plural
+ nguồn nhân lực
",human resources
"- noun
+ loài người
",human race
"- noun
+ bạn cùng nhà
",housemate
"- noun
+ đất mùn
",humus
"- noun
+ chất đặc sệt
",mush
"- noun
+ điều chướng mắt
",eyesore
"- adjective
+ hồ hởi
",exuberant
"- noun plural
+ pháo hoa
",pyrotechnics
"- noun
+ sự đặt kề nhau
",juxtaposition
"- noun
+ thị trưởng thành phố
",lord mayor
"- noun
+ kẻ thất bại
",loser
"- noun
+ sự mất mát
+ mất mát
+ số tiền bị mất
",loss
"- noun
+ linh cảm
",hunch
"- noun
",lustiness
"- adverb
",lustily
"- verb
+ suy tưởng
",muse
"- noun
+ nấm
- verb
+ mọc nhanh như nấm
",mushroom
"- noun
+ quả vải
",lychee
"- noun plural
+ lời
",lyrics
"- adjective
+ trữ tình
- noun
+ bài thơ trữ tình
+ lời bài hát
",lyric
"- suffix
+ hậu tố của trạng từ
+ hậu tố “có tính”
+ hậu tố “theo lịch”
",-ly
"- noun
+ bảo tàng
",museum
"- noun
+ xa xỉ
+ xa hoa
",luxury
"- noun
",luxuriousness
"- adverb
",luxuriously
"- noun
+ con trăn
",python
"- verb
+ ru ngủ
- noun
+ sự ru ngủ; xoa dịu
",lull
"- adverb
",lustfully
"- noun
+ bóng bẩy và rực rỡ
",lustre
"- adjective
",lustrous
"- adjective
",lustful
"- adjective
+ khỏe mạnh
+ đầy sức sống
",lusty
"- noun
",lusciousness
"- adjective
+ ngọt ngào
",luscious
"- adjective
+ tươi tốt
",lush
"- verb
+ ẩn nấp
",lurk
"- noun
+ sự thèm khát
",lust
"- noun
+ vẻ quyến rũ
- verb
+ quyến rũ
",lure
"- verb
+ đi lắc lư
- noun
+ sự lắc lư
",lurch
"- verb
+ đâm mạnh
- noun
+ cú đâm bất thình lình
",lunge
"- adverb
",luridly
"- noun
",luridness
"- noun
+ giờ ăn trưa
",lunchtime
"- adjective
+ có màu nhợt nhạt
+ khủng khiếp
",lurid
"- noun
+ phổi
",lung
"- adjective
+ người điên
",lunatic
"- noun
+ bữa trưa
- verb
+ ăn trưa
",lunch
"- adjective
+ mặt trăng
",lunar
"- adjective
+ xa hoa
",luxurious
"- noun
",lumpiness
"- noun
+ củi
+ đồ thừa
- verb
+ làm vướng víu
- verb
+ kéo lê ì ạch
",lumber
"- adjective
+ dạ quang
",luminous
"- noun
+ tảng; miếng
+ vết u
+ miếng
- verb
+ đánh đồng với nhau
",lump
"- noun
+ tổng cộng
",lump sum
"- noun
",luminosity
"- noun
+ thợ đốn gỗ
",lumberjack
"- noun
+ chứng đau lưng
",lumbago
"- noun
+ bài hát ru
",lullaby
"- verb
+ kéo lê
",lug
"- noun
+ hành lý
",luggage
"- noun
+ rồ dại
",lunacy
"- noun
+ xe đẩy hành lý
",luggage cart
"- noun
+ trò chơi luy đô
",ludo
"- noun
",ludicrousness
"- adjective
+ chỉ hơi ấm
+ thờ ơ
",lukewarm
"- adjective
+ vón cục
",lumpy
"- adverb
",ludicrously
"- noun
+ trò chơi may rủi
",lucky dip
"- noun
",luckiness
"- adjective
+ sinh lợi
",lucrative
"- adjective
+ lố lăng
",ludicrous
"- noun
+ giá để hành lý
+ khoang hành lý trên nóc xe
",luggage rack
"- adverb
",luckily
"- noun
",lubrication
"- noun
+ sự may mắn
+ vận đỏ
",luck
"- verb
+ bôi trơn
",lubricate
"- phrasal verb
+ mất tập trung
",lose oneself in
"- phrasal verb
+ thua thiệt
",lose out
"- adjective
+ có tính may mắn
+ mang tới vận may
",lucky
"- adjective
+ không may mắn
",luckless
"- verb
+ mất
+ mất
+ lạc mất
+ thua
+ lãng phí
",lose
"- noun
",lorry driver
"- noun
+ xe tải
",lorry
"- noun
",lordliness
"- noun
+ tri thức
",lore
"- verb
+ tỉa cành
",lop
"- verb
+ nhảy cẫng lên
",lope
"- noun
+ của cướp được
- verb
+ cướp bóc
",loot
"- noun
",looseness
"- adjective
+ lỏng; chùng
+ không cố định
+ lỏng lẻo
+ xốp; mềm
",loose
"- adjective
+ tờ rơi
",loose-leaf
"- verb
+ nới lỏng
+ thư giãn
",loosen
"- adverb
",loosely
"- noun
+ kẽ hở
",loophole
"- noun
+ vòng; nút
+ đường cong
- verb
+ thắt lại
",loop
"- noun
+ lối tôn xưng của giới quý tộc
",Lordship
"- noun
+ sự giám sát
+ trạm gác
+ người canh gác
+ trách nhiện
",lookout
"- noun plural
+ hình dáng bên ngoài
",looks
"- noun
+ khung cửi
- verb
+ hiện ra lờ mờ
",loom
"- noun
+ chúa tể
+ quý tộc
+ tước hiệu của quan chức cấp cao
",lord
"- noun
+ gương
",looking-glass
"- suffix
+ (từ ghép) chỉ vẻ bề ngoài
",-looking
"- phrasal verb
+ kính trọng
",look up to
"- noun
+ trong giống ai
",look-alike
"- phrasal verb
+ kiểm soát
",lord it over
"- phrasal verb
+ nhìn qua
",look through
"- noun
+ dầu nhờn
",lubricant
"- adjective
+ kiêu kỳ
",lordly
"- abbreviation
+ ma túy LSD
",LSD
"- written abbreviation
+ hữu hạn
",Ltd
"- phrasal verb
+ cải thiện
+ tới thăm ai
+ tra cứu
",look up
"- abbreviation
+ đĩa hát chơi được 33 vòng/phút
",LP
"- noun
+ viên kẹo hình thoi
+ có hình thoi
",lozenge
"- noun
",loyalty
"- adjective
+ trung thành
",loyal
"- adverb
",loyally
"- noun
",lowliness
"- noun
+ cư dân vùng đất thấp
",lowlander
"- adjective
+ vùng đất thấp
",lowland
"- adjective
+ thấp
",lowly
"- noun plural
+ vùng đất thấp
",lowlands
"- adjective
",lowering
"- noun
+ người quan sát
",looker-on
"- adjective
+ thấp ở mực nước biển
",low-lying
"- verb
+ hạ thấp
+ hạ xuống
- verb
+ hạ thấp
",lower
"- adjective
+ đê tiện
",low-down
"- noun
+ công nghệ đơn giản
- adjective
",low-tech
"- noun
+ thủy triều thấp
",low tide/water
"- adverb
",lovingly
"- adjective
+ thấp
+ nhỏ tiếng
+ trầm
+ nhỏ
+ yếu
+ thấp
- adverb
+ vị trí thấp
- verb
+ làm ầm
",low
"- adjective
",loving
"- adjective
+ thất tình
",lovesick
"- adjective
+ đáng yêu
+ thú vị
",lovely
"- noun
+ người yêu
+ tình nhân
",lover
"- noun
+ chuyện tình
",love affair
"- noun
+ thư tình
",love letter
"- noun
",loveliness
"- adjective
",loutish
"- noun
+ bộ lễ phục
",lounge suit
"- noun
+ rận; chấy
- verb
+ làm hỏng
",louse
"- verb
+ đi thơ thẩn
+ lang thang
- noun
+ phòng đợi
",lounge
"- noun
+ yêu thích
+ tình yêu
+ người, vật đáng yêu
+ điểm không trong tennis
- verb
+ thích
+ say mê
",love
"- noun
+ loa phóng thanh
+ loa
",loudspeaker
"- noun
",loudness
"- noun
+ người cục mịch
",lout
"- adverb
",loudly
"- adjective
+ dễ yêu
",lovable
"- noun plural
+ nhiều
",lots
"- noun
",lotus
"- noun
+ xổ số
",lottery
"- adjective
+ to; ầm ĩ
+ sặc sỡ
",loud
"- noun
",lousiness
"- adjective
+ có rận
+ rất kinh khủng
",lousy
"- noun
+ nước thơm
",lotion
"- noun
+ vận mệnh
+ mớ; đống
+ mặt hàng
",lot
"- phrasal verb
+ không tập trung
",lost in
"- noun
+ tài sản bị mất
+ phòng tìm hành lý thất lạc
",lost property
"- noun
+ sợi đay
",jute
"- verb
+ kê cạnh nhau
",juxtapose
"- adjective
+ lạc mất
+ thua
+ lãng phí
+ lạc đường
",lost
"- verb
+ lòi ra
",jut
"- adverb
",justly
"- adjective
+ vị thành niên
+ trẻ con
",juvenile
"- noun
",justness
"- verb
+ bào chữa
+ bào chữa
",justify
"- adjective
+ có thể bào chữa
",justifiable
"- noun
+ sự bào chữa
+ lý lẽ bào chữa
",justification
"- noun
+ Thẩm phán hòa giải
",Justice of the Peace
"- noun
+ giàn thiêu
",pyre
"- noun
+ pyrit
",pyrites
"- noun
+ sự công bằng
+ luật pháp
+ quan tòa
",justice
"- noun
+ hình chóp
+ kim tự tháp
",pyramid
"- noun plural
+ bộ đồ ngủ
",pyjamas
"- noun
+ thảo luận theo hình tháp
",pyramid discussion
"- noun
+ cột điện cao thế
+ tháp, cột cao đánh dấu đường cho máy bay hạ cánh
",pylon
"- noun
+ hệ thống cơ bắp
",musculature
"- noun
+ người lùn
",pygmy
"- phrasal verb
+ đột nhập; giành giật
",muscle in
"- adjective
+ liên quan đến cơ bắp
+ cơ bắp
",muscular
"- noun
+ cơ bắp
",muscle
"- adjective
",murmuring
"- adverb
",murderously
"- noun
",murderer
"- adjective
+ đầy sát khí
",murderous
"- noun
+ tiếng rì rầm
- verb
+ rì rầm
",murmur
"- noun
+ kẻ sát nhân
+ tội giết người
- verb
+ giết người
",murder
"- noun
+ bức tranh tường
",mural
"- noun plural
+ đạn dược
",munitions
"- adverb
",municipally
"- adjective
+ thuộc thành thị
",municipal
"- noun
+ xác ướp
",mummy
"- noun
+ thành phố tự trị
+ chính quyền thành phố tự trị
",municipality
"- verb
+ nhai trệu trạo
",munch
"- noun singular
+ bệnh quai bị
",mumps
"- noun
+ mẹ
",mum
"- verb
+ lầm bầm
",mumble
"- noun
+ vô số
",multitude
"- adjective
+ đa chủng tộc
",multiracial
"- adjective
+ nhiều lựa chọn
",multiple-choice
"- noun
+ bệnh đa xương cứng
",multiple sclerosis
"- verb
+ nhân lên
+ sinh sôi nảy nở
",multiply
"- noun
+ tính nhân
",multiplication
"- adjective
+ gồm nhiều phần
+ nhiều
- noun
+ bội số
",multiple
"- noun
+ triệu phú
",multimillionaire
"- adjective
+ đa ngôn ngữ
",multilingual
"- adjective
+ đa môi trường
+ đa phương tiện
- noun
",multimedia
"- adjective
+ đa văn hóa
",multicultural
"- adjective
+ nhiều tầng
",multi-storey
"- prefix
+ tiếp đầu ngữ “nhiều”
",multi-
"- adjective
+ bướng bỉnh
",mulish
"- noun
+ cá đối
",mullet
"- adjective
+ đa màu sắc
",multi-coloured
"- noun
+ con la
- noun
+ thú lai
",mule
"- verb
+ bóp nghẹt
",muffle
"- noun
+ cây dâu tằm
+ quả dâu tằm
",mulberry
"- noun
",mugful
"- noun
+ người bóp cổ người khác
",mugger
"- noun
+ ca
- noun
+ mặt
- verb
+ bóp cổ
",mug
"- noun
+ bánh nướng xốp
",muffin
"- noun
+ khăn quàng cổ
+ khăn thắt lưng
",muffler
"- noun
+ ngũ cốc ăn sáng
",muesli
"- noun
+ cá thu đao
",mudskipper
"- noun
+ cái chắn bùn
",mudguard
"- adjective
",muddled
"- adjective
+ có bùn
- verb
+ lvấy bùn
",muddy
"- phrasal verb
+ nhầm lẫn
",muddle up
"- verb
+ làm lộn xộn
- noun
+ tình trạng lộn xộn
",muddle
"- adjective
+ đần độn
",muddle-headed
"- noun
+ bãi đất lầy thoai thoải
",mudflat
"- phrasal verb
+ liều lĩnh
",muddle along
"- noun
+ bùn
",mud
"- phrasal verb
+ đi lêu lổng
+ làm những việc vô bổ
",muck about
"- noun
+ phân chuồng
",muck
"- phrasal verb
+ dọn dẹp
",muck out
"- noun
+ nước nhầy
",mucus
"- adjective
",mucky
"- adjective
+ nhiều
- pronoun
+ nhiều
- adverb
+ nhiều; lắm
+ phần lớn
",much
"- written abbreviation
+ Đỉnh
",Mt
"- noun
+ Thạc sĩ khoa học
",MSc
"- noun
+ danh hiệu cho phụ nữ đã có chồng
",Mrs
"- abbreviation
+ dặm cho mỗi gallon
",mpg
"- noun
+ danh hiệu cho phụ nữ chưa chồng
- abbreviation
+ bệnh đa xương cứng
+ bản thảo
",Ms
"- noun
+ máy cắt
",mower
"- noun
+ nghị sĩ quốc hội
+ cảnh sát quân sự
",MP
"- abbreviation
+ dặm trên giờ
",mph
"- phrasal verb
+ tàn sát
",mow down
"- verb
+ cắt; gặt
",mow
"- adverb
",movingly
"- phrasal verb
+ ra đi, đi xa
",move off
"- adjective
+ cảm động, thương tâm
",moving
"- noun
+ bộ phim
+ phim
",movie
"- noun
+ sự chuyển động
+ hoạt động
+ cử động
+ phong trào, cuộc vận động
+ kim đồng hồ…)
+ (âm nhạc) phần
+ xu hướng chung
",movement
"- phrasal verb
+ chuyển vào nhà
",move in
"- phrasal verb
+ dọn nhà đi
",move out
"- phrasal verb
+ tiến lên
",move up
"- adjective
",movable
"- phrasal verb
+ đang di chuyển
",move along
"- noun
+ thuốc sát trùng miệng
",mouthwash
"- noun
+ miệng (kèn, sáo, còi…)
+ ống nói (điện thoại)
",mouthpiece
"- verb
+ di chuyển
+ chuyển nhà
+ xúc động
- noun
+ (đánh cờ) nước
+ chuyển, xê dịch
",move
"- noun
+ kèn ácmônica
",mouth organ
"- noun
+ món kem mút
",mousse
"- noun
+ ria mép
",moustache
"- adjective
+ ngon lành
",mouth-watering
"- noun
+ miếng đầy mồm
",mouthful
"- noun
+ miệng
+ cửa (hang, sông…)
- verb
+ nói to
",mouth
"- adjective
+ xám xịt
+ nhút nhát, rụt rè, lén lút
",mousy
"- noun
+ bẫy chuột
",mousetrap
"- adjective
",mythological
"- adverb
",mythically
"- noun
+ khoa thần thoại học
",mythology
"- adjective
",mythical
"- verb
+ làm bối rối
",mystify
"- noun
+ thần thoại
",myth
"- adjective
+ bí ẩn; khó hiểu
",mysterious
"- noun
+ điều bí ẩn
+ điều bí mật
",mystery
"- adverb
",mysteriously
"- noun
+ động vật nhiều chân
",myriapod
"- pronoun
+ chính bản thân tôi
+ nhấn mạnh bản thân
",myself
"- adjective
",myopic
"- noun
+ tật cận thị
",myopia
"- adverb
",mutually
"- noun
+ mõm, rọ…
+ bịt mõm
+ miệng súng
- verb
+ khóa miệng
",muzzle
"- noun
+ con chim yểng
",mynah
"- adjective
+ của tôi
- interjection
+ chao ôi!
",my
"- noun
+ thịt cừu
",mutton
"- adjective
+ qua lại
+ lẫn nhau
",mutual
"- adjective
",mutinous
"- noun
+ người tạo binh biến
",mutineer
"- verb
+ thương tật
+ cắt đi
",mutilate
"- verb
+ tiếng thì thầm
- noun
+ âm thanh thì thầm
",mutter
"- noun
+ cuộc binh biến
- verb
+ nổi dậy
",mutiny
"- noun
",mutilation
"- adverb
",mutely
"- adjective
+ mốc
",musty
"- noun
+ vải muxơlin
",muslin
"- noun
+ cây mù tạc
",mustard
"- adjective
+ câm
+ yên lặng
+ âm câm
",mute
"- verb
+ phải
+ cần
+ cần thiết
- noun
+ chắc hẳn
",must
"- noun
+ tín đồ Hồi giáo
",Muslim
"- verb
+ sự tập hợp
+ sự tập trung
",muster
"- noun
+ con trai
",mussel
"- noun
+ lính ngự lâm
",musketeer
"- noun
+ súng hỏa mai
",musket
"- noun
+ nhà soạn nhạc; nhạc sĩ
+ nhạc công
",musician
"- adverb
",musically
"- adjective
",mushy
"- noun
+ âm nhạc
+ bản nhạc
",music
"- adjective
+ thuộc âm nhạc
+ du dương
+ có năng khiếu về nhạc
- noun
+ nhạc kịch; phim ca nhạc
",musical
"- noun
+ thị lực
",eyesight
"- noun
+ trang điểm mắt
",eyeliner
"- noun
+ lỗ xâu dây
",eyelet
"- noun
+ nhân chứng
",eye-witness
"- noun
+ mí mắt
",eyelid
"- noun
+ mỹ phẩm bôi vào mí mắt
",eyeshadow
"- noun
+ lông mi
",eyelash
"- noun
+ thị kính
",eye-piece
"- noun
+ lông mày
",eyebrow
"- noun
+ cầu mắt
+ nhãn cầu
",eyeball
"- noun
+ điều làm cho tỉnh ngộ
",eye-opener
"- verb
+ hân hoan
",exult
"- adjective
+ hân hoan
",exultant
"- adjective
+ bắt mắt
",eye-catching
"- noun
+ mắt
+ lỗ
+ cách nhìn nhận
- verb
+ nhìn
",eye
"- noun
",exultation
"- verb
+ rỉ, ứa
",exude
"- noun
",exuberance
"- noun
",extrication
"- noun
+ (người) hướng ngoại
",extrovert
"- verb
+ giải thoát
",extricate
"- adverb
+ cực kì
",extremely
"- noun
+ chủ nghĩa cực đoan
",extremism
"- noun
",extremist
"- adverb
",extravagantly
"- noun
+ điểm xa nhất
+ sự bất hạnh tột độ
+ cảnh túng quẫn cùng cực
+ tứ chi
",extremity
"- adjective
+ vô cùng
+ rất xa
+ cực đoan
- noun
+ thái cực
+ ở mức độ cao nhất
",extreme
"- adjective
+ phung phí
+ vô lí
",extravagant
"- noun
",extravagance
"- noun
+ ngoài hành tinh
",extraterrestrial
"- verb
+ ngoại suy
",extrapolate
"- noun
",extrapolation
"- adjective
+ phi thường
",extraordinary
"- adjective
+ ngoại tình
",extramarital
"- adjective
+ ngoài trường đại học
+ ngoại khoá
",extramural
"- noun
",extradition
"- adverb
",extraordinarily
"- verb
+ dẫn độ
",extradite
"- adjective
+ ngoại khóa
",extracurricular
"- noun
+ nguồn gốc
+ hành động rút, nhổ
",extraction
"- adjective
+ thêm
- adverb
+ hơn thường lệ
- pronoun
+ cái thêm
- noun
+ cái thêm vào
+ vai phụ
+ đợt phát hành đặc biệt
",extra
"- adjective
+ quá đáng
",extortionate
"- noun
",extortion
"- verb
+ tống tiền
",extort
"- verb
+ dập tắt
",extinguish
"- noun
+ sự tuyệt chủng
+ sự dập tắt
",extinction
"- noun
+ bình chữa cháy
",extinguisher
"- adverb
",externally
"- adjective
+ tuyệt chủng
+ tắt núi lửa
",extinct
"- verb
+ tán dương
",extol
"- verb
+ phát biểu
",externalize
"- noun
",externalization
"- noun
",extermination
"- verb
+ tiêu diệt
",exterminate
"- noun
+ quy mô
+ mức độ
",extent
"- adjective
+ bên ngoài
",external
"- adjective
+ có phạm vi rộng
",extensive
"- adjective
+ bên ngoài
- noun
+ bề ngoài
",exterior
"- adjective
+ mở rộng
+ kéo dài thời hạn
",extended
"- noun
+ phần mở rộng
+ sự mở rộng
+ máy nhánh
",extension
"- adverb
+ ứng khẩu
",extempore
"- verb
+ mở rộng
+ trải dài
+ duỗi
+ gửi tới
",extend
"- adjective
+ hiện có
",extant
"- noun
",expropriation
"- adverb
",exquisitely
"- verb
+ trưng dụng
+ chiếm đoạt
",expropriate
"- noun
",expulsion
"- adjective
+ tinh xảo
",exquisite
"- adverb
+ một cách rõ ràng
",expressly
"- noun
+ đường cao tốc
",expressway
"- noun
",expressiveness
"- adverb
",expressively
"- noun
",gynaecologist
"- noun
+ phụ khoa
",gynaecology
"- noun
+ dân Gipxi
",gypsy
